phase,title,distributor,genre,franchise,release_date,week,rt,est_m (box office projection $M),IPO base_price ($M, stored),IPO implied by est ($M),result actual_m ($M),live price ($M),note
Historical,Leviticus,Neon,Horror,,,1,,2.5,9,9,2.6,9,
Historical,Girls Like Girls,Focus Features,Drama,,,1,,1,7,7,1.5,11,
Historical,Teenage Sex and Death at Camp Miasma,MUBI,Horror,,,7,,0.2,7,7,,6,
Historical,Union County,Seaview Productions,Drama,,,8,,0.3,7,7,,6,
Historical,Olmo,Plan B Entertainment,Comedy,,,7,,0.5,7,7,,6,
Historical,Idiots,Vidhu Vinod Chopra Productions,Comedy,,,10,,1.5,8,8,,7,
Historical,I Want Your Sex,Black Bear Pictures,Comedy,,,6,,1.5,8,8,,7,
Historical,Minions & Monsters,Universal Pictures,Adventure,,,1,,70,50,50,37,23,
Historical,Her Private Hell,Neon,Thriller,,,5,,2,8,8,,8,
Historical,The Devil Wears Prada 2,Walt Disney Studios Motion Pictures,Comedy,,,1,,87.5,60,60,76.7,53,
Historical,Gail Daughtry and the Celebrity Sex Pass,Sony Pictures Classics,Comedy,,,3,,3,9,9,,9,
Phase 1 (Autumn),Hope,Neon,Drama,,2026-09-09,1,,2,8,8,,9,
Phase 1 (Autumn),The Fix,Crave Pictures,Drama,,2026-09-11,1,,2,8,8,,9,
Phase 1 (Autumn),Practical Magic 2,Warner Bros.,Comedy,,2026-09-11,1,,40,33,33,,36,
Phase 1 (Autumn),Runner,Ingenious Media,Drama,,2026-09-11,1,,4.7,10,10,,11,
Phase 1 (Autumn),The Uprising,Focus Features,Action,,2026-09-11,1,,8,13,13,,15,
Phase 1 (Autumn),Bad Apples,Republic Pictures,Comedy,,2026-09-18,2,,4,10,10,,11,
Phase 1 (Autumn),The Weight,Vertical Entertainment,Action,,2026-09-18,2,,4.5,10,10,,11,
Phase 1 (Autumn),Shaun the Sheep: The Beast of Mossy Bottom,GKIDS,Animation,,2026-09-18,2,,3,9,9,,10,
Phase 1 (Autumn),Resident Evil,Columbia Pictures,Action,,2026-09-18,2,,40,33,33,,35,
Phase 1 (Autumn),Bedford Park,Sony Pictures Classics,Drama,,2026-09-22,3,,1,7,7,,7,
Phase 1 (Autumn),Heart of the Beast,Paramount Pictures,Action,,2026-09-25,3,,20,21,21,,22,
Phase 1 (Autumn),Forgotten Island,DreamWorks,Action,,2026-09-25,3,,25,24,24,,25,
Phase 1 (Autumn),"Your Mother, Your Mother, Your Mother",Amazon MGM Studios,Comedy,,2026-09-25,3,,3,9,9,,9,
Phase 1 (Autumn),Charlie Harper,Temple Hill Entertainment,Comedy,,2026-09-25,3,,2,8,8,,8,
Phase 1 (Autumn),Primetime,A24,Drama,,2026-09-25,3,,12,16,16,,16,
Phase 1 (Autumn),Rolling Loud,American High,Comedy,,2026-10-01,4,,3,9,9,,9,
Phase 1 (Autumn),Verity,Amazon MGM Studios,Thriller,,2026-10-02,4,,32,29,29,,29,
Phase 1 (Autumn),Digger,Warner Bros.,Comedy,,2026-10-02,4,,10.2,14,14,,14,
Phase 1 (Autumn),She Saw Us,Liv Movies,Drama,,2026-10-05,5,,0.5,7,7,,7,
Phase 1 (Autumn),The Legend of Aang: The Last Airbender,Paramount Pictures,Action,,2026-10-09,5,,35,30,30,,29,inactive
Phase 1 (Autumn),Tenzing,Apple Original Films,Adventure,,2026-10-09,5,,2.5,9,9,,9,
Phase 1 (Autumn),The Social Reckoning,Columbia Pictures,Drama,,2026-10-09,5,,15,18,18,,17,
Phase 1 (Autumn),Fjord,Mobra Films,Drama,,2026-10-09,5,,1,7,7,,7,
Phase 1 (Autumn),Other Mommy,Universal Pictures,Horror,,2026-10-09,5,,17.2,19,19,,18,
Phase 1 (Autumn),Misty Green,A24,Drama,,2026-10-09,5,,2,8,8,,8,
Phase 1 (Autumn),Poetic License,Row K Entertainment,Comedy,,2026-10-12,6,,1,7,7,,6,
Phase 1 (Autumn),California Schemin',Magenta Light Studios,Drama,,2026-10-16,6,,2,8,8,,7,
Phase 1 (Autumn),Sense and Sensibility,Focus Features,Drama,,2026-10-16,6,,6,11,11,,10,
Phase 1 (Autumn),Once Upon a Time in Harlem,Neon,Drama,,2026-10-16,6,,2,8,8,,7,
Phase 1 (Autumn),Whalefall,20th Century Studios,Adventure,,2026-10-16,6,,9.5,14,14,,13,
Phase 1 (Autumn),Flywheel: Ignition of the Soul,Sony Pictures Releasing,Drama,,2026-10-16,6,,3,9,9,,8,
Phase 1 (Autumn),Crawlers,Production I.G,Drama,,2026-10-16,6,,3,9,9,,8,
Phase 1 (Autumn),Street Fighter,Paramount Pictures,Action,,2026-10-16,6,,26,25,25,,23,
Phase 1 (Autumn),"Trust Me, I'm a Doctor",Briarcliff Entertainment,Thriller,,2026-10-16,6,,3.5,9,9,,8,
Phase 1 (Autumn),A Talent for Murder,Bleecker Street,Thriller,,2026-10-23,7,,3.5,9,9,,8,
Phase 1 (Autumn),Ali G: Who Iz I?,Amazon MGM Studios,Comedy,,2026-10-23,7,,9.5,14,14,,12,
Phase 1 (Autumn),Wildwood,LAIKA,Animation,,2026-10-23,7,,11,15,15,,13,
Phase 1 (Autumn),Klara and the Sun,Sony Pictures Releasing,Drama,,2026-10-23,7,,10,14,14,,12,
Phase 1 (Autumn),Wicker,Black Bear Pictures,Drama,,2026-10-23,7,,2,8,8,,7,
Phase 1 (Autumn),Fatherland,MUBI,Drama,,2026-10-23,7,,1,7,7,,6,
Phase 1 (Autumn),Clayface,Warner Bros.,Horror,,2026-10-23,7,,24.6,24,24,,20,
Phase 1 (Autumn),The Only Living Pickpocket in New York,Sony Pictures Classics,Comedy,,2026-10-23,7,,2,8,8,,7,
Phase 1 (Autumn),Christmas at the Kringles,Stoked Film Group,Drama,,2026-10-30,8,,3,9,9,,8,
Phase 1 (Autumn),Godzilla Minus Zero,GKIDS,Action,,2026-11-06,9,,15,18,18,,15,
Phase 1 (Autumn),The Cat in the Hat,Warner Bros.,Adventure,,2026-11-06,9,,38,32,32,,27,
Phase 1 (Autumn),Club Kid,A24,Drama,,2026-11-06,9,,2,8,8,,7,
Phase 1 (Autumn),Wild Horse Nine,Searchlight Pictures,Comedy,,2026-11-06,9,,4,10,10,,9,
Phase 1 (Autumn),I Play Rocky,Eden Rock Media,Drama,,2026-11-06,9,,3,9,9,,8,
Phase 1 (Autumn),Jimmy,Burns & Co.,Drama,,2026-11-06,9,,2,8,8,,7,
Phase 1 (Autumn),Ghost Soldier,Sony Pictures Releasing,Action,,2026-11-06,9,,8.5,13,13,,11,
Phase 1 (Autumn),Ramayana: Part 1,NYVE / Prime Focus,Adventure,,2026-11-06,9,,11.4,15,15,,13,
Phase 1 (Autumn),Drummer Boy,Angel Studios,Drama,,2026-11-06,9,,6,11,11,,9,
Phase 1 (Autumn),The Great Beyond,Warner Bros.,Drama,,2026-11-09,10,,8,13,13,,11,
Phase 1 (Autumn),Ebenezer: A Christmas Carol,Paramount Pictures,Drama,,2026-11-13,10,,6,11,11,,9,
Phase 1 (Autumn),Victorian Psycho,Bleecker Street,Drama,,2026-11-13,10,,3,9,9,,8,
Phase 1 (Autumn),Paper Tiger,Neon,Thriller,,2026-11-13,10,,3.5,9,9,,8,
Phase 1 (Autumn),Bitter Christmas,Sony Pictures Classics,Comedy,,2026-11-13,10,,2,8,8,,7,
